Date,Account_ID,Customer_Segment,Industry,Subscription_Status,Monthly_Recurring_Revenue,Expansion_Revenue,Support_Tickets_Last_30d,Feature_Adoption_Score
2024-01-03,ACC00012,SMB,Retail,Active,2736.8,140.16,1,64.5
2024-01-03,ACC00013,Enterprise,Tech,Active,16121.48,459.35,3,67.2
2024-01-03,ACC00014,SMB,Finance,Active,1289.08,270.65,6,62.6
2024-01-03,ACC00015,Enterprise,Tech,Active,15264.68,770.79,2,95.2
2024-01-03,ACC00016,SMB,Healthcare,Active,2079.99,462.52,0,69.7
2024-01-03,ACC00017,SMB,Finance,Active,616.04,60.62,1,94.4
2024-01-03,ACC00018,SMB,Finance,Active,2607.93,488.93,7,64.5
2024-01-03,ACC00019,Enterprise,Finance,Active,22655.73,2284.82,9,76.8
2024-01-03,ACC00020,Mid-Market,Finance,Active,6336.56,1675.29,3,71.3
2024-01-03,ACC00021,Enterprise,Healthcare,Active,12111.98,2999.73,5,72.6
2024-01-03,ACC00022,Mid-Market,Healthcare,Active,3511.75,174.53,0,68.4
2024-01-03,ACC00023,SMB,Tech,Active,2740.2,6.82,1,96.8
2024-01-03,ACC00024,Mid-Market,Retail,Active,4598.71,1085.13,9,81.1
2024-01-03,ACC00025,Enterprise,Tech,Active,19738.02,5616.3,3,60.2
2024-01-03,ACC00026,Mid-Market,Finance,Active,3379.44,53.34,0,69.6
2024-01-03,ACC00027,Mid-Market,Healthcare,Active,5206.42,1388.66,8,67.6
2024-01-03,ACC00028,Enterprise,Healthcare,Active,20929.63,6045.54,5,95.6
2024-01-03,ACC00029,Mid-Market,Tech,Active,5624.66,993.81,0,89.9
2024-01-03,ACC00030,Mid-Market,Finance,Active,3965.98,321.7,8,92.4
2024-01-03,ACC00031,Mid-Market,Retail,Active,7723.72,638.37,9,79.2
2024-01-03,ACC00032,Enterprise,Tech,Active,15943.64,4536.93,1,61.7
2024-01-03,ACC00033,SMB,Tech,Active,2192.91,167.92,8,86.7
2024-01-03,ACC00034,Mid-Market,Retail,Active,4205.32,355.38,5,72.9
2024-01-03,ACC00035,SMB,Healthcare,Active,2825.75,26.23,0,94.8
2024-01-03,ACC00036,Enterprise,Healthcare,Active,15264.62,2200.52,4,89.0
2024-01-03,ACC00037,Enterprise,Healthcare,Active,23232.31,4213.74,2,75.5
2024-01-03,ACC00038,SMB,Healthcare,Active,2284.18,367.44,4,90.0
2024-01-03,ACC00039,SMB,Retail,Active,1212.77,211.54,6,80.7
2024-01-03,ACC00040,Mid-Market,Tech,Active,3244.18,895.44,6,91.8
2024-01-03,ACC00041,Mid-Market,Finance,Active,3526.02,193.23,2,70.6
2024-01-03,ACC00042,SMB,Retail,Paused,1740.48,0.0,4,92.4
2024-01-03,ACC00043,SMB,Tech,Active,1417.04,310.84,7,80.8
2024-01-03,ACC00044,Mid-Market,Healthcare,Active,5739.32,931.78,4,61.5
2024-01-03,ACC00045,Mid-Market,Retail,Active,6091.94,966.94,3,93.9
2024-01-03,ACC00046,SMB,Healthcare,Active,2595.47,526.38,3,78.6
2024-01-03,ACC00047,SMB,Retail,Churned,2522.22,0.0,8,23.7
2024-01-03,ACC00048,SMB,Retail,Active,969.29,198.7,2,93.5
2024-01-03,ACC00049,Mid-Market,Tech,Active,9192.28,152.6,7,80.3
2024-01-03,ACC00050,Mid-Market,Finance,Active,3533.88,260.48,5,88.2
2024-01-04,ACC00001,Mid-Market,Tech,Active,9032.14,1414.79,9,62.4
2024-01-04,ACC00002,SMB,Healthcare,Active,2371.48,699.94,9,89.6
2024-01-04,ACC00003,SMB,Retail,Active,1569.07,387.16,6,81.4
2024-01-04,ACC00004,Mid-Market,Tech,Active,8630.2,473.88,5,96.5
2024-01-04,ACC00005,Enterprise,Retail,Active,15514.22,3178.16,9,86.2
2024-01-04,ACC00006,Mid-Market,Healthcare,Active,7766.71,1383.57,4,92.2
2024-01-04,ACC00007,SMB,Healthcare,Active,2375.99,551.35,8,66.0
2024-01-04,ACC00008,SMB,Healthcare,Active,2594.57,154.71,8,93.2
2024-01-04,ACC00009,SMB,Finance,Active,2572.12,556.85,2,67.8
2024-01-04,ACC00010,SMB,Retail,Active,1846.09,57.4,7,91.8
2024-01-04,ACC00011,Enterprise,Tech,Active,14043.38,2929.26,8,97.3
2024-01-04,ACC00012,SMB,Tech,Active,1151.46,262.86,7,62.2
2024-01-04,ACC00013,SMB,Finance,Active,643.38,8.23,7,71.7
2024-01-04,ACC00014,SMB,Tech,Active,1225.54,25.77,1,87.3
2024-01-04,ACC00015,Mid-Market,Retail,Active,9653.46,817.72,8,87.4
2024-01-04,ACC00016,SMB,Finance,Churned,679.2,0.0,2,46.7
2024-01-04,ACC00017,Enterprise,Tech,Active,20870.58,2761.88,9,85.3
2024-01-04,ACC00018,SMB,Finance,Active,1278.88,270.67,9,64.9
2024-01-04,ACC00019,SMB,Tech,Active,1877.76,401.37,8,77.5
2024-01-04,ACC00020,Mid-Market,Tech,Paused,9309.4,0.0,1,98.7
2024-01-04,ACC00021,Enterprise,Retail,Active,12950.08,2307.12,1,98.6
2024-01-04,ACC00022,SMB,Finance,Active,936.6,35.92,9,96.2
2024-01-04,ACC00023,SMB,Healthcare,Active,1299.74,285.34,2,64.6
2024-01-04,ACC00024,Mid-Market,Finance,Active,6861.37,1757.27,7,71.9
2024-01-04,ACC00025,SMB,Healthcare,Active,1506.08,284.64,0,86.2
2024-01-04,ACC00026,SMB,Healthcare,Active,1613.52,179.61,7,90.8
2024-01-04,ACC00027,Mid-Market,Healthcare,Active,4479.66,197.64,0,63.3
2024-01-04,ACC00028,Enterprise,Tech,Active,15162.87,3322.05,3,84.7
2024-01-04,ACC00029,Mid-Market,Retail,Active,5284.46,1251.52,5,92.9
2024-01-04,ACC00030,SMB,Tech,Active,2183.28,307.75,2,90.9
2024-01-04,ACC00031,Mid-Market,Finance,Active,5107.12,668.66,9,97.1
2024-01-04,ACC00032,SMB,Finance,Active,2498.56,336.38,1,94.0
2024-01-04,ACC00033,Mid-Market,Finance,Active,4413.24,895.24,4,84.6
2024-01-04,ACC00034,Mid-Market,Retail,Active,6698.4,1512.57,2,60.7
2024-01-04,ACC00035,Enterprise,Retail,Active,15750.75,3756.51,9,86.3
2024-01-04,ACC00036,Mid-Market,Tech,Paused,9561.19,0.0,1,98.0
2024-01-04,ACC00037,SMB,Tech,Active,880.82,239.19,6,71.7
2024-01-04,ACC00038,SMB,Retail,Active,1495.0,300.34,8,62.0
2024-01-04,ACC00039,SMB,Retail,Active,2508.03,139.15,4,72.4
2024-01-04,ACC00040,SMB,Retail,Active,2099.76,317.97,1,87.4
2024-01-04,ACC00041,Enterprise,Tech,Active,20527.36,3947.41,1,72.8
2024-01-04,ACC00042,SMB,Finance,Active,2555.72,196.44,6,78.6
2024-01-04,ACC00043,SMB,Finance,Active,2277.38,166.2,6,62.7
2024-01-04,ACC00044,SMB,Retail,Active,868.36,21.15,8,81.2
2024-01-04,ACC00045,Mid-Market,Retail,Churned,8018.89,0.0,3,23.8
2024-01-04,ACC00046,SMB,Tech,Active,1405.13,71.76,1,68.4
2024-01-04,ACC00047,Mid-Market,Tech,Active,9057.45,1494.78,4,65.1
2024-01-04,ACC00048,Mid-Market,Healthcare,Active,6929.44,1930.52,3,83.4
2024-01-04,ACC00049,SMB,Tech,Active,952.62,273.81,1,69.8
2024-01-04,ACC00050,Enterprise,Finance,Active,15478.36,3486.01,6,73.8
2024-01-05,ACC00001,SMB,Finance,Active,852.95,102.65,3,86.0
2024-01-05,ACC00002,Mid-Market,Finance,Active,6062.34,928.75,5,72.8
2024-01-05,ACC00003,SMB,Healthcare,Active,2735.59,430.82,0,73.6
2024-01-05,ACC00004,Mid-Market,Finance,Active,8357.64,1069.04,3,62.7
2024-01-05,ACC00005,Mid-Market,Healthcare,Active,4374.48,1139.93,0,75.6
2024-01-05,ACC00006,SMB,Retail,Active,2259.42,18.51,6,77.7
2024-01-05,ACC00007,SMB,Finance,Active,2888.06,688.81,0,93.0
2024-01-05,ACC00008,SMB,Finance,Active,2859.85,97.84,0,97.5
2024-01-05,ACC00009,Enterprise,Finance,Active,21112.0,5943.68,0,91.0
2024-01-05,ACC00010,SMB,Healthcare,Active,2167.86,427.21,5,85.9
2024-01-05,ACC00011,SMB,Finance,Active,1091.81,68.76,6,84.0
2024-01-05,ACC00012,Enterprise,Retail,Active,16809.88,3956.25,2,61.1
2024-01-05,ACC00013,SMB,Healthcare,Active,2061.37,332.38,7,60.7
2024-01-05,ACC00014,SMB,Tech,Paused,2422.78,0.0,5,83.6
2024-01-05,ACC00015,SMB,Finance,Active,2545.45,578.92,1,69.9
2024-01-05,ACC00016,Mid-Market,Retail,Active,8718.17,1617.53,0,72.4
2024-01-05,ACC00017,SMB,Finance,Active,1084.1,46.86,4,93.9
2024-01-05,ACC00018,Mid-Market,Finance,Active,6852.47,1450.22,2,64.9
2024-01-05,ACC00019,Enterprise,Retail,Active,21839.82,6036.54,8,91.0
2024-01-05,ACC00020,Mid-Market,Healthcare,Active,7954.08,1737.91,1,96.5
2024-01-05,ACC00021,Enterprise,Healthcare,Active,23166.01,192.01,8,94.3
2024-01-05,ACC00022,SMB,Tech,Active,1394.36,391.19,3,68.8
2024-01-05,ACC00023,Mid-Market,Finance,Active,5299.53,1133.29,3,88.2
2024-01-05,ACC00024,SMB,Retail,Active,2779.72,204.1,6,74.8
2024-01-05,ACC00025,SMB,Tech,Churned,1179.03,0.0,2,42.0
2024-01-05,ACC00026,SMB,Tech,Active,1561.94,322.97,3,69.4
2024-01-05,ACC00027,SMB,Tech,Active,2513.03,120.41,0,85.9
2024-01-05,ACC00028,SMB,Finance,Paused,1652.11,0.0,8,80.3
2024-01-05,ACC00029,SMB,Tech,Churned,2022.05,0.0,2,59.9
2024-01-05,ACC00030,SMB,Healthcare,Active,1448.56,6.73,4,86.2
2024-01-05,ACC00031,SMB,Tech,Active,721.07,14.1,7,91.5
2024-01-05,ACC00032,Mid-Market,Finance,Active,5104.02,937.64,6,96.5
2024-01-05,ACC00033,Mid-Market,Finance,Active,9855.3,457.63,4,79.7
2024-01-05,ACC00034,SMB,Healthcare,Active,2848.53,667.31,2,80.4
2024-01-05,ACC00035,Mid-Market,Healthcare,Active,6112.06,659.76,6,61.3
2024-01-05,ACC00036,SMB,Tech,Churned,686.19,0.0,0,41.9
2024-01-05,ACC00037,Mid-Market,Tech,Active,8691.7,308.05,2,73.0
2024-01-05,ACC00038,Mid-Market,Retail,Active,9314.62,249.06,3,84.8
2024-01-05,ACC00039,SMB,Retail,Churned,1323.35,0.0,1,51.7
2024-01-05,ACC00040,Enterprise,Retail,Active,17419.33,897.57,5,85.3
2024-01-05,ACC00041,Mid-Market,Retail,Active,6960.19,483.93,6,96.2
2024-01-05,ACC00042,Enterprise,Healthcare,Active,19567.66,900.96,0,92.6
2024-01-05,ACC00043,Mid-Market,Finance,Active,6803.65,1114.55,2,65.7
2024-01-05,ACC00044,SMB,Finance,Active,2313.44,145.56,0,72.3
2024-01-05,ACC00045,Enterprise,Healthcare,Churned,15309.87,0.0,7,43.6
2024-01-05,ACC00046,SMB,Retail,Active,1657.8,39.92,3,99.9
2024-01-05,ACC00047,SMB,Healthcare,Active,2597.31,87.75,2,73.4
2024-01-05,ACC00048,SMB,Retail,Paused,1445.01,0.0,6,77.2
2024-01-05,ACC00049,Mid-Market,Finance,Active,3853.32,593.23,1,83.4
2024-01-05,ACC00050,Mid-Market,Healthcare,Active,7978.52,312.02,4,83.7
2024-01-06,ACC00001,SMB,Retail,Active,501.48,68.33,6,97.0
2024-01-06,ACC00002,SMB,Finance,Active,793.23,38.16,6,82.2
2024-01-06,ACC00003,SMB,Retail,Active,1993.44,234.9,8,93.7
2024-01-06,ACC00004,Mid-Market,Finance,Active,8663.12,519.53,4,99.9
2024-01-06,ACC00005,Mid-Market,Finance,Active,6948.73,871.46,5,93.6
2024-01-06,ACC00006,Enterprise,Finance,Active,21036.89,5028.27,5,85.5
2024-01-06,ACC00007,SMB,Healthcare,Paused,2248.26,0.0,4,85.9
2024-01-06,ACC00008,SMB,Tech,Active,681.45,168.74,8,87.4
2024-01-06,ACC00009,Enterprise,Retail,Active,18527.85,3515.41,9,64.0
2024-01-06,ACC00010,SMB,Retail,Active,2802.19,372.94,6,81.7
2024-01-06,ACC00011,Enterprise,Finance,Active,19163.67,254.72,6,68.5
2024-01-06,ACC00012,SMB,Tech,Active,2489.44,100.79,4,65.5
2024-01-06,ACC00013,SMB,Tech,Active,765.82,167.57,4,93.4
2024-01-06,ACC00014,SMB,Retail,Churned,2876.51,0.0,0,51.8
2024-01-06,ACC00015,SMB,Finance,Active,2919.85,324.47,3,62.5
2024-01-06,ACC00016,Mid-Market,Finance,Active,3161.12,186.94,7,81.0
2024-01-06,ACC00017,SMB,Finance,Active,2957.76,421.29,8,68.7
2024-01-06,ACC00018,SMB,Tech,Active,1795.87,341.45,0,92.6
2024-01-06,ACC00019,Mid-Market,Tech,Active,8521.84,414.75,2,67.0
2024-01-06,ACC00020,Enterprise,Healthcare,Active,10153.46,1208.99,4,76.4
2024-01-06,ACC00021,SMB,Healthcare,Active,2729.17,780.83,4,83.6
2024-01-06,ACC00022,SMB,Tech,Active,2131.16,635.88,4,63.0
2024-01-06,ACC00023,Enterprise,Retail,Active,17244.91,721.85,8,67.9
2024-01-06,ACC00024,SMB,Retail,Active,1678.0,284.72,6,92.3
2024-01-06,ACC00025,Mid-Market,Tech,Active,3736.4,895.17,6,70.1
2024-01-06,ACC00026,SMB,Tech,Active,2789.89,583.0,6,90.8
2024-01-06,ACC00027,Enterprise,Retail,Active,10562.49,1440.67,1,71.5
2024-01-06,ACC00028,SMB,Tech,Active,1141.75,250.06,1,64.5
2024-01-06,ACC00029,SMB,Retail,Active,1739.62,73.56,5,86.6
2024-01-06,ACC00030,SMB,Finance,Active,1423.85,182.71,7,60.1
2024-01-06,ACC00031,SMB,Finance,Active,1699.03,276.51,3,77.4
2024-01-06,ACC00032,SMB,Finance,Active,659.22,46.47,6,92.6
2024-01-06,ACC00033,Mid-Market,Healthcare,Active,5797.43,740.6,2,92.0
2024-01-06,ACC00034,SMB,Retail,Churned,1983.2,0.0,2,22.2
2024-01-06,ACC00035,Enterprise,Tech,Active,23587.9,161.09,2,95.3
2024-01-06,ACC00036,SMB,Tech,Active,2259.4,155.59,8,90.7
2024-01-06,ACC00037,SMB,Healthcare,Active,1358.11,90.47,5,70.0
2024-01-06,ACC00038,SMB,Finance,Churned,2811.71,0.0,9,32.3
2024-01-06,ACC00039,Mid-Market,Healthcare,Active,4784.16,757.36,1,95.7
2024-01-06,ACC00040,SMB,Healthcare,Churned,2318.23,0.0,4,30.4
2024-01-06,ACC00041,SMB,Healthcare,Active,1777.88,152.21,2,78.5
2024-01-06,ACC00042,SMB,Retail,Churned,537.03,0.0,3,34.3
2024-01-06,ACC00043,Mid-Market,Healthcare,Active,9839.05,1384.07,3,95.5
2024-01-06,ACC00044,SMB,Tech,Active,2231.65,298.02,4,75.3
2024-01-06,ACC00045,Mid-Market,Healthcare,Paused,9653.37,0.0,9,67.0
2024-01-06,ACC00046,SMB,Tech,Active,2259.76,150.12,2,78.4
2024-01-06,ACC00047,SMB,Healthcare,Active,1701.75,367.8,8,62.0
2024-01-06,ACC00048,SMB,Tech,Active,954.72,58.59,2,91.4
2024-01-06,ACC00049,SMB,Retail,Active,505.78,96.99,2,72.8
2024-01-06,ACC00050,Enterprise,Finance,Active,15609.58,2130.97,7,87.6
2024-01-07,ACC00001,Enterprise,Retail,Active,15937.0,282.56,9,79.2
2024-01-07,ACC00002,SMB,Tech,Active,2221.97,198.09,2,91.8
2024-01-07,ACC00003,SMB,Tech,Paused,794.23,0.0,0,78.0
2024-01-07,ACC00004,SMB,Finance,Churned,2433.49,0.0,3,52.3
2024-01-07,ACC00005,Mid-Market,Retail,Active,5279.62,1562.69,8,72.3
2024-01-07,ACC00006,SMB,Finance,Active,727.73,1.69,1,69.4
2024-01-07,ACC00007,SMB,Healthcare,Active,2147.54,383.49,5,61.3
2024-01-07,ACC00008,Enterprise,Healthcare,Active,14429.89,1292.53,1,94.9
2024-01-07,ACC00009,Mid-Market,Healthcare,Active,4929.93,461.42,5,65.6
2024-01-07,ACC00010,SMB,Healthcare,Active,2417.6,614.49,1,70.9
2024-01-07,ACC00011,SMB,Finance,Active,1469.52,429.21,7,83.4
2024-01-07,ACC00012,Enterprise,Healthcare,Active,18521.94,794.15,1,95.3
2024-01-07,ACC00013,SMB,Healthcare,Active,1622.38,183.59,5,78.3
2024-01-07,ACC00014,Mid-Market,Healthcare,Active,6218.73,1231.21,9,76.3
2024-01-07,ACC00015,SMB,Finance,Active,2059.69,62.51,3,97.5
2024-01-07,ACC00016,Mid-Market,Tech,Active,6224.21,692.41,0,82.7
2024-01-07,ACC00017,SMB,Tech,Active,702.01,57.44,8,70.6
2024-01-07,ACC00018,SMB,Retail,Active,2738.65,400.17,7,74.9
2024-01-07,ACC00019,Mid-Market,Healthcare,Active,4950.27,153.52,5,71.3
2024-01-07,ACC00020,Mid-Market,Retail,Paused,3346.82,0.0,8,83.8
2024-01-07,ACC00021,SMB,Retail,Paused,2332.94,0.0,1,74.2
2024-01-07,ACC00022,SMB,Finance,Active,1729.58,414.63,4,88.5
2024-01-07,ACC00023,Enterprise,Tech,Active,19367.41,3044.55,9,62.5
2024-01-07,ACC00024,Mid-Market,Finance,Churned,8046.54,0.0,2,35.4
2024-01-07,ACC00025,SMB,Tech,Active,1917.58,543.38,1,64.5
2024-01-07,ACC00026,SMB,Retail,Active,2738.03,204.69,3,87.9
2024-01-07,ACC00027,SMB,Healthcare,Active,1151.46,341.92,5,66.8
2024-01-07,ACC00028,SMB,Tech,Active,741.87,195.27,1,93.6
2024-01-07,ACC00029,Enterprise,Finance,Paused,24115.23,0.0,5,73.4
2024-01-07,ACC00030,SMB,Finance,Active,716.64,132.83,6,99.1
2024-01-07,ACC00031,SMB,Tech,Active,600.7,166.94,7,67.5
2024-01-07,ACC00032,Mid-Market,Tech,Active,8513.77,1933.87,6,95.9
2024-01-07,ACC00033,Enterprise,Tech,Active,19040.54,1593.87,0,72.4
2024-01-07,ACC00034,SMB,Healthcare,Churned,2445.59,0.0,5,31.8
2024-01-07,ACC00035,SMB,Tech,Active,2135.97,93.77,5,91.7
2024-01-07,ACC00036,SMB,Tech,Active,2233.32,511.61,5,97.8
2024-01-07,ACC00037,Enterprise,Retail,Active,14968.1,210.19,9,62.7
2024-01-07,ACC00038,Mid-Market,Retail,Active,7832.79,195.2,9,75.3
